id,name,glottocode,year,map_name_full,note,year_comment
250,Northern Tepehuan,nort2959,traditional,Fig. 1,,Time of European Contact
251,Northern Tutchone,nort2941,traditional,Fig. 1,,Time of European Contact
252,Northern Yokuts,yoku1256,traditional,Fig. 1,,Time of European Contact
253,Northern Yukian,yuki1243,traditional,Fig. 1,,Time of European Contact
254,Nottoway,nott1246,traditional,Fig. 1,,Time of European Contact
255,Nuu-chah-nulth,nuuc1236,traditional,Fig. 1,,Time of European Contact
256,Oaxaca Mixe,oaxa1241,traditional,Fig. 1,,Time of European Contact
257,Obispeño,obis1242,traditional,Fig. 1,,Time of European Contact
258,Ofo,ofoo1242,traditional,Fig. 1,,Time of European Contact
259,Okanagan,okan1243,traditional,Fig. 1,,Time of European Contact
260,Oluta Popoluca,olut1240,traditional,Fig. 1,,Time of European Contact
261,"Omaha-Ponca",omah1247,traditional,Fig. 1,,Time of European Contact
262,Oneida,onei1249,traditional,Fig. 1,,Time of European Contact
263,Onondaga,onon1246,traditional,Fig. 1,,Time of European Contact
264,Opata,opat1246,traditional,Fig. 1,,Time of European Contact
265,Opelousa,,traditional,Fig. 1,,Time of European Contact
266,Osage,osag1243,traditional,Fig. 1,,Time of European Contact
267,Otomian,otom1297,traditional,Fig. 1,,Time of European Contact
268,Ottawa,otta1242,traditional,Fig. 1,,Time of European Contact
269,Pacific Gulf Yupik,paci1278,traditional,Fig. 1,,Time of European Contact
270,Paipai,paip1241,traditional,Fig. 1,,Time of European Contact
271,Pakana,,traditional,Fig. 1,,Time of European Contact
272,Palewyami Yokuts,pale1254,traditional,Fig. 1,,Time of European Contact
273,Pame,nort2984,traditional,Fig. 1,,Time of European Contact
274,Panamint,pana1305,traditional,Fig. 1,,Time of European Contact
275,Patwin,patw1250,traditional,Fig. 1,,Time of European Contact
276,Pawnee,pawn1254,traditional,Fig. 1,,Time of European Contact
277,Pech,pech1241,traditional,Fig. 1,,Time of European Contact
278,Pensacola,,traditional,Fig. 1,,Time of European Contact
279,Pentlach,pent1242,traditional,Fig. 1,,Time of European Contact
280,Pericú,peri1250,traditional,Fig. 1,,Time of European Contact
281,Pima Bajo,pima1248,traditional,Fig. 1,,Time of European Contact
282,Pinome,,traditional,Fig. 1,,Time of European Contact
283,Pipil,pipi1250,traditional,Fig. 1,,Time of European Contact
284,Piro,piro1248,traditional,Fig. 1,,Time of European Contact
285,Plains Cree,plai1258,traditional,Fig. 1,,Time of European Contact
286,Plains Miwok,plai1259,traditional,Fig. 1,,Time of European Contact
287,Pochutec,poch1244,traditional,Fig. 1,,Time of European Contact
288,Poqom,poco1241,traditional,Fig. 1,,Time of European Contact
289,Potawatomi,pota1247,traditional,Fig. 1,,Time of European Contact
290,Powhatan,powh1243,traditional,Fig. 1,,Time of European Contact
291,Purepecha,pure1242,traditional,Fig. 1,,Time of European Contact
292,Purismeño,puri1259,traditional,Fig. 1,,Time of European Contact
293,Q'anjob'al,qanj1241,traditional,Fig. 1,,Time of European Contact
294,Quapaw,quap1242,traditional,Fig. 1,,Time of European Contact
295,Quechan,quec1382,traditional,Fig. 1,,Time of European Contact
296,Querétaro Otomi,quer1236,traditional,Fig. 1,,Time of European Contact
297,Quileute,quil1240,traditional,Fig. 1,,Time of European Contact
298,Quinault,quin1251,traditional,Fig. 1,,Time of European Contact
299,Quinigua,quin1252,traditional,Fig. 1,,Time of European Contact
300,Quiripi,wamp1250,traditional,Fig. 1,,Time of European Contact
301,Rama,rama1270,traditional,Fig. 1,,Time of European Contact
302,Rio Grande Tewa,tewa1260,traditional,Fig. 1,,Time of European Contact
303,Rogue River Athabaskan,tolo1259,traditional,Fig. 1,,Time of European Contact
304,Sahaptin-Walla Walla,wall1238,traditional,Fig. 1,,Time of European Contact
305,Salinan,sali1253,traditional,Fig. 1,,Time of European Contact
306,Salteaux,west1510,traditional,Fig. 1,,Time of European Contact
307,San Francisco Matlatzinca,sanf1262,traditional,Fig. 1,,Time of European Contact
308,Sarcee,sars1236,traditional,Fig. 1,,Time of European Contact
309,Sayula Popoluca,sayu1241,traditional,Fig. 1,,Time of European Contact
310,Sechelt,sech1246,traditional,Fig. 1,,Time of European Contact
311,Sekani,seka1250,traditional,Fig. 1,,Time of European Contact
312,Seneca,sene1264,traditional,Fig. 1,,Time of European Contact
313,Seri,seri1257,traditional,Fig. 1,,Time of European Contact
314,Serrano,serr1255,traditional,Fig. 1,,Time of European Contact
315,Severn Ojibwa,seve1240,traditional,Fig. 1,,Time of European Contact
316,Seward Peninsula Inupiatun,nort2945,traditional,Fig. 1,,Time of European Contact
317,Shawnee,shaw1249,traditional,Fig. 1,,Time of European Contact
318,Shoshoni,,traditional,Fig. 1,,Time of European Contact
319,Shuswap,shus1248,traditional,Fig. 1,,Time of European Contact
320,Siksika,siks1238,traditional,Fig. 1,,Time of European Contact
321,Sipacapense,sipa1247,traditional,Fig. 1,,Time of European Contact
322,Siuslaw,sius1254,traditional,Fig. 1,,Time of European Contact
323,Slavey,sout2959,traditional,Fig. 1,,Time of European Contact
324,Solano,sanf1266,traditional,Fig. 1,,Time of European Contact
325,Southern Baja Mixtec,mixt1427,traditional,Fig. 1,,Time of European Contact
326,Southern Core Zapotec,sout3003,traditional,Fig. 1,,Time of European Contact
327,Southern Ohlone,sout2986,traditional,Fig. 1,,Time of European Contact
328,Southern Pomo,sout2984,traditional,Fig. 1,,Time of European Contact
329,Southern Sierra Miwok ,sout2985,traditional,Fig. 1,,Time of European Contact
330,Southern Tepehuan,sout2977,traditional,Fig. 1,,Time of European Contact
331,Southern Tiwa,sout2961,traditional,Fig. 1,,Time of European Contact
332,Southern Tutchone,sout2957,traditional,Fig. 1,,Time of European Contact
333,Spokane,spok1245,traditional,Fig. 1,,Time of European Contact
334,Squamish,squa1248,traditional,Fig. 1,,Time of European Contact
335,Stoney,ston1242,traditional,Fig. 1,,Time of European Contact
336,Subtiaba,subt1250,traditional,Fig. 1,,Time of European Contact
337,Susquehannock,susq1241,traditional,Fig. 1,,Time of European Contact
338,Swampy Cree,swam1239,traditional,Fig. 1,,Time of European Contact
339,Tabasco Chontal,taba1266,traditional,Fig. 1,,Time of European Contact
340,Tagish,tagi1240,traditional,Fig. 1,,Time of European Contact
341,Tahltan,tahl1239,traditional,Fig. 1,,Time of European Contact
342,Tahue,,traditional,Fig. 1,,Time of European Contact
343,Takelma,take1257,traditional,Fig. 1,,Time of European Contact
344,Tanacross,tana1290,traditional,Fig. 1,,Time of European Contact
345,Tanaina,tana1289,traditional,Fig. 1,,Time of European Contact
346,Taos,nort1550,traditional,Fig. 1,,Time of European Contact
347,Tapachultec,tapa1260,traditional,Fig. 1,,Time of European Contact
348,Tarahumara,tara1321,traditional,Fig. 1,,Time of European Contact
349,Tataviam,serr1254,traditional,Fig. 1,,Time of European Contact
350,Tawasa,timu1245,traditional,Fig. 1,,Time of European Contact
351,Tecoxquin,,traditional,Fig. 1,,Time of European Contact
352,Tektiteko,tekt1235,traditional,Fig. 1,,Time of European Contact
353,Tekwexe,,traditional,Fig. 1,,Time of European Contact
354,Temori,,traditional,Fig. 1,,Time of European Contact
355,Tenino,teni1238,traditional,Fig. 1,,Time of European Contact
356,Tepecano,tepe1278,traditional,Fig. 1,,Time of European Contact
357,Tepehua,tepe1243,traditional,Fig. 1,,Time of European Contact
358,Tequesta,,traditional,Fig. 1,,Time of European Contact
359,Teribe,teri1250,traditional,Fig. 1,,Time of European Contact
360,Texistepec Popoluca,texi1237,traditional,Fig. 1,,Time of European Contact
361,Tilapa Otomi,tila1239,traditional,Fig. 1,,Time of European Contact
362,Tillamook,till1254,traditional,Fig. 1,,Time of European Contact
363,Tipai,kumi1248,traditional,Fig. 1,,Time of European Contact
364,Tlingit,tlin1245,traditional,Fig. 1,,Time of European Contact
365,Toboso,,traditional,Fig. 1,,Time of European Contact
366,Tocobaga,,traditional,Fig. 1,,Time of European Contact
367,Tohono O'odham,toho1245,traditional,Fig. 1,,Time of European Contact
368,Tojolabal,tojo1241,traditional,Fig. 1,,Time of European Contact
369,Tol,toll1241,traditional,Fig. 1,,Time of European Contact
370,Tolimeco,,traditional,Fig. 1,,Time of European Contact
371,Tongva,tong1329,traditional,Fig. 1,,Time of European Contact
372,Tonkawa,tonk1249,traditional,Fig. 1,,Time of European Contact
373,Totonac,toto1252,traditional,Fig. 1,,Time of European Contact
374,Totorame,,traditional,Fig. 1,,Time of European Contact
375,Towa,jeme1245,traditional,Fig. 1,,Time of European Contact
376,Trique,triq1251,traditional,Fig. 1,,Time of European Contact
377,Tsetsaut,tset1236,traditional,Fig. 1,,Time of European Contact
378,Tubatulabal,tuba1278,traditional,Fig. 1,,Time of European Contact
379,Tule-Kaweah Yokuts,tule1245,traditional,Fig. 1,,Time of European Contact
380,Tunica,tuni1252,traditional,Fig. 1,,Time of European Contact
381,"Tuscarora",tusc1257,traditional,Fig. 1,,Time of European Contact
382,Tutelo-Saponi,tute1247,traditional,Fig. 1,,Time of European Contact
383,Twana,twan1247,traditional,Fig. 1,,Time of European Contact
384,Tz'utujil,tzut1248,traditional,Fig. 1,,Time of European Contact
385,Tzeltal,tzel1254,traditional,Fig. 1,,Time of European Contact
386,Tzotzil,tzot1259,traditional,Fig. 1,,Time of European Contact
387,Ulwa,ulwa1239,traditional,Fig. 1,,Time of European Contact
388,Umatilla,umat1237,traditional,Fig. 1,,Time of European Contact
389,Unami Delaware,unam1242,traditional,Fig. 1,,Time of European Contact
390,Upper Chehalis,uppe1439,traditional,Fig. 1,,Time of European Contact
391,Upper Kuskokwim,uppe1438,traditional,Fig. 1,,Time of European Contact
392,Upper Tanana,uppe1437,traditional,Fig. 1,,Time of European Contact
393,Upper Umpqua,uppe1436,traditional,Fig. 1,,Time of European Contact
394,Uspanteco,uspa1245,traditional,Fig. 1,,Time of European Contact
395,Ute-Southern Paiute,utes1238,traditional,Fig. 1,,Time of European Contact
396,Ventureño,vent1242,traditional,Fig. 1,,Time of European Contact
397,Wampanoag,wamp1249,traditional,Fig. 1,,Time of European Contact
398,Wappo,wapp1239,traditional,Fig. 1,,Time of European Contact
399,Wasco,wasc1239,traditional,Fig. 1,,Time of European Contact
400,Washo,wash1253,traditional,Fig. 1,,Time of European Contact
401,Wenro,wenr1236,traditional,Fig. 1,,Time of European Contact
402,Western Abenaki,west2630,traditional,Fig. 1,,Time of European Contact
403,Western Apache,west2615,traditional,Fig. 1,,Time of European Contact
404,Western Canadian Inuktitut,west2618,traditional,Fig. 1,,Time of European Contact
405,Western Durango Nahuatl,west2778,traditional,Fig. 1,,Time of European Contact
406,Western Zapotec,west2645,traditional,Fig. 1,,Time of European Contact
407,Wichita,wich1260,traditional,Fig. 1,,Time of European Contact
408,Wintu,wint1259,traditional,Fig. 1,,Time of European Contact
409,Wiyot,wiyo1248,traditional,Fig. 1,,Time of European Contact
410,Woccon,wocc1242,traditional,Fig. 1,,Time of European Contact
