ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
136,Huastec,,,,huas1242,traditional,haynie2019modern,features,Fig. 1
137,Huavean,,,,huav1256,traditional,haynie2019modern,features,Fig. 1
138,Huichol,,,,huic1243,traditional,haynie2019modern,features,Fig. 1
139,Huite,,,,opat1247,traditional,haynie2019modern,features,Fig. 1
140,Hupa,,,,hupa1239,traditional,haynie2019modern,features,Fig. 1
141,Huron,,,,wyan1247,traditional,haynie2019modern,features,Fig. 1
142,Ineseño,,,,ines1240,traditional,haynie2019modern,features,Fig. 1
143,Interior Chumash,,,,cent2139,traditional,haynie2019modern,features,Fig. 1
144,Iowa-Otoe,,,,iowa1245,traditional,haynie2019modern,features,Fig. 1
145,Ipai,,,,ipai1240,traditional,haynie2019modern,features,Fig. 1
146,Island Chumash,,,,cruz1243,traditional,haynie2019modern,features,Fig. 1
147,Itzá,,,,itza1241,traditional,haynie2019modern,features,Fig. 1
148,Ixil,,,,ixil1251,traditional,haynie2019modern,features,Fig. 1
149,Ixtenco Otomi,,,,ixte1237,traditional,haynie2019modern,features,Fig. 1
150,Jaega,,,,,traditional,haynie2019modern,features,Fig. 1
151,Jalisco Otomi,,,,otom1300,traditional,haynie2019modern,features,Fig. 1
152,Jicarilla,,,,jica1244,traditional,haynie2019modern,features,Fig. 1
153,Jumano,,,,juma1248,traditional,haynie2019modern,features,Fig. 1
154,K'iche',,,,kich1262,traditional,haynie2019modern,features,Fig. 1
155,Kalapuya,,,,kala1400,traditional,haynie2019modern,features,Fig. 1
156,Kalispel,,,,kali1309,traditional,haynie2019modern,features,Fig. 1
157,Kansa,,,,kans1243,traditional,haynie2019modern,features,Fig. 1
158,Kaqchikel,,,,kaqc1270,traditional,haynie2019modern,features,Fig. 1
159,Karankawa,,,,kara1289,traditional,haynie2019modern,features,Fig. 1
160,Karkin,,,,kark1259,traditional,haynie2019modern,features,Fig. 1
161,Karuk,,,,karo1304,traditional,haynie2019modern,features,Fig. 1
162,Kaska,,,,kask1239,traditional,haynie2019modern,features,Fig. 1
163,Kaskan,,,,,traditional,haynie2019modern,features,Fig. 1
164,Kathalmet,,,,kath1253,traditional,haynie2019modern,features,Fig. 1
165,Kato,,,,kato1244,traditional,haynie2019modern,features,Fig. 1
166,"Kawaiisu",,,,kawa1283,traditional,haynie2019modern,features,Fig. 1
167,Kekchí,,,,kekc1242,traditional,haynie2019modern,features,Fig. 1
168,Kickapoo,,,,kick1244,traditional,haynie2019modern,features,Fig. 1
169,Kiliwa,,,,kili1268,traditional,haynie2019modern,features,Fig. 1
170,Kiowa,,,,kiow1266,traditional,haynie2019modern,features,Fig. 1
171,Kiowa Apache,,,,kiow1264,traditional,haynie2019modern,features,Fig. 1
172,Kitsai,,,,kits1249,traditional,haynie2019modern,features,Fig. 1
173,Klamath-Modoc,,,,klam1254,traditional,haynie2019modern,features,Fig. 1
174,Koasati,,,,koas1236,traditional,haynie2019modern,features,Fig. 1
175,Konkow,,,,nort2951,traditional,haynie2019modern,features,Fig. 1
176,Konomihu,,,,kono1241,traditional,haynie2019modern,features,Fig. 1
177,Koyukon,,,,koyu1237,traditional,haynie2019modern,features,Fig. 1
178,Kuna,,,,sanb1242,traditional,haynie2019modern,features,Fig. 1
179,Kwak'wala,,,,kwak1269,traditional,haynie2019modern,features,Fig. 1
180,Lagunero,,,,,traditional,haynie2019modern,features,Fig. 1
181,Lakota,,,,lako1247,traditional,haynie2019modern,features,Fig. 1
182,Laurentian,,,,laur1250,traditional,haynie2019modern,features,Fig. 1
183,Lenca Honduras,,,,lenc1242,traditional,haynie2019modern,features,Fig. 1
184,Lenca Salvador,,,,lenc1243,traditional,haynie2019modern,features,Fig. 1
185,Lillooet,,,,lill1248,traditional,haynie2019modern,features,Fig. 1
186,Lipan,,,,lipa1241,traditional,haynie2019modern,features,Fig. 1
187,Loup,,,,loup1243,traditional,haynie2019modern,features,Fig. 1
188,Lower Chehalis,,,,lowe1427,traditional,haynie2019modern,features,Fig. 1
189,Lower Chinook,,,,chin1286,traditional,haynie2019modern,features,Fig. 1
190,Lower Tanana,,,,lowe1425,traditional,haynie2019modern,features,Fig. 1
191,Lowland Oaxaca Chontal,,,,lowl1260,traditional,haynie2019modern,features,Fig. 1
192,Luiseño,,,,luis1253,traditional,haynie2019modern,features,Fig. 1
193,Lushootseed,,,,lush1252,traditional,haynie2019modern,features,Fig. 1
194,Mahican,,,,mahi1248,traditional,haynie2019modern,features,Fig. 1
195,Maidu,,,,nort2952,traditional,haynie2019modern,features,Fig. 1
196,Makah,,,,maka1318,traditional,haynie2019modern,features,Fig. 1
197,Malicite-Passamaquoddy,,,,male1292,traditional,haynie2019modern,features,Fig. 1
198,Maléku Jaíka,,,,male1297,traditional,haynie2019modern,features,Fig. 1
199,Mam,,,,mamm1241,traditional,haynie2019modern,features,Fig. 1
200,Mandan,,,,mand1446,traditional,haynie2019modern,features,Fig. 1
201,Mangue,,,,moni1237,traditional,haynie2019modern,features,Fig. 1
202,Maratino,,,,mara1266,traditional,haynie2019modern,features,Fig. 1
203,Maricopa,,,,mari1440,traditional,haynie2019modern,features,Fig. 1
204,Matagalpa,,,,mata1288,traditional,haynie2019modern,features,Fig. 1
